zip,state_name,density
51338,Iowa,5.3000002
51342,Iowa,5.8000002
51343,Iowa,3.7
51345,Iowa,2.8
51346,Iowa,6.5
51347,Iowa,6.5
51350,Iowa,3.7
51351,Iowa,16
51354,Iowa,4.8000002
51357,Iowa,6.6999998
51358,Iowa,6.9000001
51364,Iowa,4.0999999
51365,Iowa,8.6000004
51366,Iowa,2.3
51430,Iowa,7.1999998
51431,Iowa,3.9000001
51433,Iowa,4.5999999
51436,Iowa,5.8000002
51439,Iowa,4.6999998
51440,Iowa,6.0999999
51441,Iowa,8.8000002
51442,Iowa,21.9
51443,Iowa,6.5
51445,Iowa,8.8000002
51446,Iowa,5.6999998
51447,Iowa,2.5
51448,Iowa,4.1999998
51449,Iowa,9.1999998
51450,Iowa,10.3
51453,Iowa,3.0999999
51454,Iowa,5.1999998
51455,Iowa,8
51458,Iowa,6
51461,Iowa,9
51462,Iowa,3.5999999
51463,Iowa,7.0999999
51465,Iowa,5.1999998
51466,Iowa,8.1999998
51467,Iowa,3.5999999
51520,Iowa,4.8000002
51521,Iowa,9.1999998
51523,Iowa,2.7
51525,Iowa,7.5999999
51526,Iowa,16.200001
51527,Iowa,5.3000002
51528,Iowa,4.9000001
51529,Iowa,5
51530,Iowa,6.0999999
51531,Iowa,12.4
51532,Iowa,4.1999998
51533,Iowa,4.1999998
51535,Iowa,5.6999998
51536,Iowa,3.5999999
51537,Iowa,15.9
51540,Iowa,3.2
51541,Iowa,3.4000001
51542,Iowa,11
51543,Iowa,7.8000002
51544,Iowa,5
51545,Iowa,3.3
51546,Iowa,9.8999996
51548,Iowa,6.6999998
51549,Iowa,5.5
51551,Iowa,8.6999998
51552,Iowa,3.3
51553,Iowa,8.6000004
51555,Iowa,13
51556,Iowa,3.8
51557,Iowa,4.8000002
51558,Iowa,2.5999999
51559,Iowa,8.1000004
51560,Iowa,8.3000002
51561,Iowa,9.3999996
51562,Iowa,5.0999999
51563,Iowa,5.5
51564,Iowa,4.8000002
51565,Iowa,4
51566,Iowa,15.4
51570,Iowa,6.1999998
51571,Iowa,5.4000001
51572,Iowa,3.5
51573,Iowa,7
51575,Iowa,12.8
51576,Iowa,16.200001
51577,Iowa,5.6999998
51579,Iowa,7.8000002
51601,Iowa,21.799999
51630,Iowa,2.5999999
51631,Iowa,3.2
51632,Iowa,13.5
51636,Iowa,2.8
51638,Iowa,5.9000001
51639,Iowa,4.3000002
51640,Iowa,5.5999999
51645,Iowa,2.4000001
51646,Iowa,4.6999998
51647,Iowa,2.8
51648,Iowa,2
51649,Iowa,3.0999999
51650,Iowa,4.9000001
51652,Iowa,9
51653,Iowa,15.4
51654,Iowa,3.9000001
52031,Iowa,11.8
52032,Iowa,5.3000002
52033,Iowa,12.7
52035,Iowa,7.3000002
52037,Iowa,6.9000001
52038,Iowa,6.4000001
52039,Iowa,12.7
52041,Iowa,10.4
52042,Iowa,12.4
52043,Iowa,9
52044,Iowa,4.9000001
52045,Iowa,20.9
52046,Iowa,17.799999
52047,Iowa,6.4000001
52048,Iowa,3.9000001
52049,Iowa,7.0999999
52050,Iowa,6.0999999
52052,Iowa,13.6
52053,Iowa,7.5999999
52054,Iowa,6.8000002
52057,Iowa,22.700001
52060,Iowa,21.200001
52064,Iowa,8
52065,Iowa,8.6000004
52069,Iowa,12.1
52070,Iowa,8.8000002
52072,Iowa,4.4000001
52073,Iowa,11.1
52074,Iowa,3.9000001
52076,Iowa,9.1000004
52077,Iowa,4.8000002
52078,Iowa,8.6000004
52079,Iowa,5.0999999
52101,Iowa,17.200001
52132,Iowa,12.3
52133,Iowa,4.6999998
52134,Iowa,3.7
52135,Iowa,12.8
52136,Iowa,10.8
52140,Iowa,2.5999999
52141,Iowa,6.5999999
52142,Iowa,9.8999996
52144,Iowa,6.5
52146,Iowa,5.0999999
52147,Iowa,5.5999999
52151,Iowa,6.9000001
52154,Iowa,5.1999998
52155,Iowa,4.8000002
